Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main System-on-Chip","Rockchip RK3588S","High-performance SoC for main operations, AI inference, display, and media processing.","electrical","mcu",1,120.00,120.00,"https://www.alibaba.com/trade/search?fsb=y&IndexArea=product_en&keywords=RK3588S"
"LPDDR5 RAM Module","Micron LPDDR5 16GB","High-speed LPDDR5 RAM for system memory, connected directly to SoC.","electrical","module",1,75.00,75.00,"https://www.digikey.com/en/products/result?keywords=LPDDR5+16GB"
"NVMe Internal Storage 256GB","WD Black SN770 256GB M.2 2230","","electrical","module",1,35.00,35.00,"https://www.amazon.com/dp/B0GWNHBCX2?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Wi-Fi 6E & Bluetooth 5.3 Module","Intel AX210 M.2 2230","M.2 E-key module providing high-performance Wi-Fi 6E (802.11ax) connectivity.","electrical","module",1,25.00,25.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxgyyD2YfNYQNjjBoiNwgJ81WtYYMaNZEavZyc1iOJLjvf7xaYOZwFoqmMgE1l1C70a9kRVTliGEpc0eFogz376WsrQOdlJBrnnwBFbM90w9rSHs8OQQdPjKpxqHZ6lmRzJv3tITJonx3B7OU2LIA4hyJ4v7pCgS951YtF5pTzksOeEM7bKrgNATV3FFnIjEOklr6mwjiiCxIYMxS35khOyTBy2ukhpLf3ZZujXEdgU7D6G61a5ufYoeRR7Fh4eEFK45CEbo3ijBHO3T5V1Am3EJHAOzyP7qwrplzC8v1TR1UxUTyVjX0CrzxfKz4NPGRkG7yRtmo40pbUYYay68pXVOWuZ9JnafdUn0OQaILWK8CFpv9ZnadebFdirKrnLzSRCWu92ofrt01g5B54gOT0johmzRk6tkMJUuYa8Wu73NSL7W0SARa1MubPtVyWtzhGAwYhsQ7ibD53mWSJHlhEj7RPmMPBZT3XdxD9DbfmrAsNqFJYVakaD13CrUelA7UlKJMYRVbHbeyKbj6kXp7ztlE4yU7hAenoZhqtUj7FbnNwjAUeOuKValGiNwDFfBhgxhqYsquwByNjPY47veaYG1yVufGqYroIsVE3wbxPY4kR1067u4rEYmSvtyEAS9rZYNRfxQWXVIvniVSRLwmroXv"
"NFC Module","PN7150 NFC Controller","","electrical","module",1,10.00,10.00,"https://www.digikey.com/en/products/result?keywords=PN7150"
"Sub-GHz Transceiver (433/868/915 MHz)","Texas Instruments CC1101","Transceiver for Sub-1 GHz wireless communication.","electrical","module",1,7.00,7.00,"https://www.digikey.com/en/products/result?keywords=CC1101"
"Multi-Frequency RFID Module","RC522 (13.56MHz) + EM4100 (125kHz)","","electrical","module",1,15.00,15.00,"https://www.amazon.com/s?k=RC522+EM4100+RFID+module"
"4K AMOLED Touch Display","5.9-inch 4K AMOLED MIPI DSI Panel","","electrical","display",1,150.00,150.00,"https://www.alibaba.com/trade/search?fsb=y&IndexArea=product_en&keywords=5.9+inch+4K+AMOLED+MIPI+DSI"
"Touchscreen Controller IC","Goodix GT911","Controller for the capacitive touch panel, enabling interactive navigation and text selection.","electrical","module",1,3.00,3.00,"https://www.digikey.com/en/products/result?keywords=GT911"
"High-Density Li-Po Battery","LiPo 3.7V 4500mAh","","electrical","power",1,20.00,20.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRvTgdYHM22mxL7XfUbfAqQe6cGuzBAFdZatuGXXrzVyPBGi2EXNApn92AyvtHwXBtDuNOqZ9Gwek2BbOmWW1AQFN4x7RrSMGEgtvXQzIAiWH6wObj7tscVdezCGmqquEa02gJPfH8hJaMq3jhCHu60i2uKeHHrcJQ17PORBOgBFAWMTOZjMse7uYnpPlDQbkK0oyatqBCoAxPq9u3EApNeGuJUei7GRVvFe3gH6f99Liru7TOTpqkyuIhf5LsWlRwsZX3Qw3ynvzQHqkipYCDJIPWiQXcopNjMJu6NrbHngqTwTTZhu1lqbtsdA4JwHGf1v3ObhQIlQxqZl1uaxtCj6OIkpv5yBt6XaC3zsKLjTm34PdJzOamBoDvhbsDjJbYKVmmj7oe8JMe1eqwoeVagabwV8lE5Na8YiPPNtgxmtmPnlzxxAqtLm05pmlqwN8BO4HZqyB7NoX2TAVaGowSVNoaBOTKyL62S9qCk0iz5p45X4REO9nSsJ36gKcjPuOcaL77DgKzz4rvmsU9Gf3Ex1AHI8lDAmuJ6fRli3fG9lJmCsDMJ7ABElQmvouVm8zJP2HQv5ddQ2VpZGpnfKJOjyWs0TuQVyIYZZJr98pPIMtpjB70shsgxbFgxS9khUhoOMatbKmxOpSqW52G9ZUMB1"
